id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
26692,VVCI,medium_airport,Cat Bi International Airport,20.81940078735352,106.7249984741211,6.0,AS,VN,VN-RRD,Haiphong,yes,VVCI,HPH,,,https://en.wikipedia.org/wiki/Cat_Bi_Airport,Catbi Airport
302311,VVCL,small_airport,Cam Ly Airport,11.9502844865,108.411004543,4937.0,AS,VN,VN-CH,,no,VVCL,,,,https://en.wikipedia.org/wiki/Cam_Ly_Airport,
301824,VVCM,medium_airport,Cà Mau Airport,9.177667,105.177778,6.0,AS,VN,VN-SW,Ca Mau City,yes,VVCM,CAH,,,https://en.wikipedia.org/wiki/C%C3%A0_Mau_Airport,"Moranc Airfield, Quan Long Airport"
26693,VVCR,medium_airport,Cam Ranh International Airport / Cam Ranh Air Base,11.9982,109.219002,40.0,AS,VN,VN-SCC,Cam Ranh,yes,VVCR,CXR,,,https://en.wikipedia.org/wiki/Cam_Ranh_International_Airport,
26694,VVCS,medium_airport,Con Dao Airport,8.73183,106.633003,20.0,AS,VN,VN-SE,Con Dao,yes,VVCS,VCS,,,https://en.wikipedia.org/wiki/Con_Dao_Airport,Conson Airport
26695,VVCT,medium_airport,Can Tho International Airport,10.0851,105.711998,9.0,AS,VN,VN-SW,Can Tho,yes,VVCT,VCA,,,https://en.wikipedia.org/wiki/Can_Tho_International_Airport,"Binh Thuy Air Base, Trà Nóc Airport"
26696,VVDB,medium_airport,Dien Bien Phu Airport,21.3974990845,103.008003235,1611.0,AS,VN,VN-NW,Dien Bien Phu,yes,VVDB,DIN,,,https://en.wikipedia.org/wiki/Dien_Bien_Phu_Airport,
30923,VVDL,medium_airport,Lien Khuong Airport,11.75,108.366997,3156.0,AS,VN,VN-CH,Da Lat,yes,VVDL,DLI,,,https://en.wikipedia.org/wiki/Lien_Khuong_Airport,Lienkhang
26697,VVDN,medium_airport,Da Nang International Airport,16.0439,108.198997,33.0,AS,VN,VN-SCC,Da Nang,yes,VVDN,DAD,,,https://en.wikipedia.org/wiki/Da_Nang_International_Airport,"Danang, Cảng Hàng không Quốc tế Đà Nẵng"
26698,VVGL,medium_airport,Gia Lam Air Base,21.040501,105.886002,50.0,AS,VN,VN-RRD,Hanoi,no,VVGL,,,,https://en.wikipedia.org/wiki/Gia_Lam_Airbase,
301326,VVN,small_airport,Las Malvinas/Echarate Airport,-11.854861,-72.939332,1285.0,SA,PE,PE-CUS,Las Malvinas,no,SPWT,VVN,,,https://en.wikipedia.org/wiki/Las_Malvinas_Airport,
26700,VVNB,large_airport,Noi Bai International Airport,21.221201,105.806999,39.0,AS,VN,VN-RRD,"Soc Son, Hanoi",yes,VVNB,HAN,,,https://en.wikipedia.org/wiki/Noi_Bai_International_Airport,"Noibai Airport, Sân bay Quốc tế Nội Bài"
26701,VVNT,closed,Nha Trang Air Base,12.2275,109.192001,20.0,AS,VN,VN-SCC,Nha Trang,no,VVNT,NHA,,,https://en.wikipedia.org/wiki/Nha_Trang_Air_Base,"Nhatrang, BA 194"
26702,VVPB,medium_airport,Phu Bai International Airport,16.401501,107.703003,48.0,AS,VN,VN-NC,Huế,yes,VVPB,HUI,,,https://en.wikipedia.org/wiki/Phu_Bai_International_Airport,Phubai
26703,VVPC,medium_airport,Phu Cat Airport,13.955,109.042,80.0,AS,VN,VN-SCC,Quy Nohn,yes,VVPC,UIH,,https://vietnamairport.vn/phucatairport/,https://en.wikipedia.org/wiki/Phu_Cat_Airport,Phucat
26704,VVPK,medium_airport,Pleiku Airport,14.00450038909912,108.01699829101562,2434.0,AS,VN,VN-CH,Pleiku,yes,VVPK,PXU,,,https://en.wikipedia.org/wiki/Pleiku_Air_Base,
26705,VVPQ,medium_airport,Phu Quoc International Airport,10.1698,103.9931,37.0,AS,VN,VN-SW,Phu Quoc Island,yes,VVPQ,PQC,,,https://en.wikipedia.org/wiki/Phu_Quoc_International_Airport,
32580,VVRG,medium_airport,Rach Gia Airport,9.95802997234,105.132379532,7.0,AS,VN,VN-SW,Rach Gia,yes,VVRG,VKG,,,https://en.wikipedia.org/wiki/Rach_Gia_Airport,
26707,VVTH,medium_airport,Dong Tac Airport,13.0496,109.334,20.0,AS,VN,VN-SCC,Tuy Hoa,yes,VVTH,TBB,,,https://en.wikipedia.org/wiki/%C4%90%C3%B4ng_T%C3%A1c_(Tuy_Hoa)_Airport,
26708,VVTS,large_airport,Tan Son Nhat International Airport,10.8188,106.652,33.0,AS,VN,VN-SE,Ho Chi Minh City,yes,VVTS,SGN,,http://www.tsnairport.hochiminhcity.gov.vn/,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,"Tansonnhat, Sài Gòn, Saigon, Sân bay Quốc tế Tân Sơn Nhất, Tan Son Nhut Air Base, Tan Son Nhut Airfield"
327354,VVTX,small_airport,Tho Xuan Airport,19.901667,105.467778,59.0,AS,VN,VN-NC,Thanh Hóa,no,VVTX,THD,,,https://en.wikipedia.org/wiki/Tho_Xuan_Airport,Bai Thuong
